query,song ratio,artist ratio,album ratio,playlist ratio,family entropy,click entropy
nickelback,0.2692109076976895,0.6017890756442504,0.0888707501124419,0.040129266545618096,1.0030520080871097,1.9998397144709033
travailler au calme,0.01115201963609199,0.00019564946729985948,0.1178699108905608,0.8707824200060473,0.4243222025086949,1.5261322430815032
woopty,0.46212711684262736,0.0038262594770778714,0.14612414086303407,0.38792248281726066,1.0264029092363982,2.2385554311042792
1 2 3,0.46219559423195206,0.005535685809964235,0.520308904936556,0.011959815021527667,0.778345107874454,1.5263185907125278
annees 80,0.07771515882945625,0.019885514354994076,0.6465560193540529,0.25584330746149675,0.9071692401427547,3.209838355700601
bob dylan,0.09818181818181818,0.600936768149883,0.24715350223546945,0.05372791143282946,1.0364585646177498,2.464194771829307
demis roussos,0.6841366498090619,0.09953555578491072,0.16395912890907213,0.05236866549695531,0.9402684247765412,3.2207040631464663
django,0.15236507120905116,0.714058576594569,0.11126838395687708,0.022307968239502846,0.8563164288189858,1.5444278242948983
démons de minuit,0.9481955058896216,0.0007924462412528709,0.010449545350758196,0.040562502518367294,0.233758874851068,0.8624678237888842
ibiza,0.5373093749227613,0.024395066610642873,0.10020020267431226,0.33809535579228356,1.021513440615174,3.1023549808640154
il en faut peu pour être heureux,0.9079801896930337,0.0005373078540391534,0.08080642900527964,0.010676073447647526,0.3434464926107698,1.2224350643441897
la fouine,0.252799799071349,0.5321518041718455,0.18659316456185318,0.02845523219495231,1.0978763824902504,2.5075262980486626
maneskin,0.4095170819419471,0.29903673259696895,0.11216285640893912,0.17928332905214486,1.2801413969521815,2.4406042195040754
mc solaar,0.20611131231662605,0.5323043366796749,0.20875637358031424,0.052827977423384784,1.1435458257145343,2.4757865379474384
musique douce,0.07499462018506563,0.024806924419577745,0.5581737321569471,0.3420247232384095,0.9783751398057816,2.7586370985073234
on verra,0.9796991290577989,0.0009026128266033254,0.006318289786223278,0.013079968329374506,0.11514221866498747,0.4091840998281413
parov stelar,0.24253786028334148,0.6183317049340499,0.09518808011724475,0.04394235466536395,1.0020165914863035,2.0713555012613045
psy 4 de la rime,0.29970902702480134,0.4848131322142769,0.17942189708889775,0.03605594367202405,1.1401851126257159,2.433293487588594
qalf,0.024482087803324195,0.00440268028805133,0.9534590050170078,0.017656226891616705,0.231423969597591,1.269519426713539
sniper,0.3006439223333647,0.568334463455799,0.09192597615359106,0.03909563805724524,1.0286015249848521,2.13375772275507
t2r,0.652896273013022,0.15629995509654243,0.07798832510103278,0.11281544678940278,1.013570219500093,3.2243517212427713
zeu,0.20572583831013408,0.6378360792879882,0.15176724839076988,0.004670834011107755,0.9233229153334044,1.8588761427164215
allo marwa loud,0.8337257562455104,0.00017958336658951233,0.04814829595338814,0.11794636443451194,0.5513322722905984,0.7800903317660753
jolie nana,0.9327678509351317,0.0011819509142737955,0.014218174233470068,0.05183202391712438,0.2867695968407159,0.6862543129529338
jul naps,0.8391582194799471,0.00044072278536800354,0.10533274570295284,0.05506831203173204,0.5472750732835628,2.4866465556094597
lambada,0.9016384978141888,0.0032701111837802484,0.01216825582596124,0.08292313517606967,0.3721860909033052,1.0614885523032345
laylow,0.157486078405862,0.40654828883819366,0.4140952974955531,0.021870335260391165,1.1057079430167425,2.1378037604679534
logobi gt,0.7211900338240198,0.12903148968605593,0.049997618026773376,0.09978085846315088,0.8796951471543477,2.8365320550005695
petit biscuit,0.30736642834825123,0.5499136172324431,0.10720652833170982,0.0355134260875958,1.049380036771321,1.9931251122269598
provoquer,0.9201017560325027,7.409419842426337e-05,0.01667119464545926,0.06315295512361382,0.3200163554050906,1.1210440778318929
shinzou wo sasageyo (attack on titan),0.8984859038750596,0.00021996553873226529,0.09504344319389962,0.0062506873923085385,0.35343020966352096,2.2222517706585982
adriano celentano,0.2817883700521916,0.4514110202761997,0.19548750635074594,0.07131310332086278,1.223355744265077,3.511714915646388
daddy cool,0.3846069964232749,0.005168803978016226,0.597683852394661,0.012540347204047807,0.7572547382943747,1.3953475780607298
dernière tentative,0.2413725336058486,0.0003930508607813851,0.6910620234258313,0.06717239210753871,0.7829361254445696,1.10271026944674
dis-moi que tu m'aimes,0.9247596833474696,0.00015903307888040714,0.0055484874187164265,0.06953279615493356,0.28791848918014523,0.43182410696892437
enfants terribles,0.8381498971914048,0.06681428926497503,0.08141085026097566,0.013624963282644554,0.5915003198032639,1.339116689901166
era,0.14595779990516833,0.5310455192034139,0.26884779516358465,0.05414888572783309,1.1280496489665435,2.0036676733553915
euphoria,0.07144158665638797,0.0038965589739995794,0.034143948419650995,0.8905179059499615,0.42870952520093186,1.865947226552786
frank ocean,0.09346135148274186,0.6881481931615622,0.19739507373197213,0.020995381623723868,0.8801165664876066,1.4328436002702127
je te promets,0.9130259365994237,0.0013904899135446687,0.03011527377521614,0.055468299711815564,0.35812056535332926,1.429322734528017
jean-louis aubert,0.30747463737737907,0.3591011989603421,0.23775886643749475,0.0956652972247841,1.296455034992422,3.1081365631429145
kids united,0.3269831217414357,0.398921912280185,0.2089052696692097,0.06518969630916964,1.2372389644890163,3.0100941465751627
l'envie d'aimer,0.9189885747914849,0.0010349656026137956,0.02305335146214258,0.056923108143758755,0.33480587720587796,1.4314221238190061
libérable,0.9648785945390221,0.0001814278370778023,0.00855734631550301,0.026382631308397086,0.17270363210908718,0.567484937231526
nova tunes,0.038492608449794005,0.005674933354875192,0.7399022538169481,0.21593020437838276,0.7085944894158078,3.0647993165959595
